id	content	date	type	suicide
14138775553571151	最近几天，郭跃一直低烧，这也严重影响到了郭跃在比赛中的发挥。通过近两天的输液，郭跃的身体有所恢复，今天下午郭跃在淮阴体育馆进行了适应训练。在三战两胜的总决赛中，目前八一冀中能源1比0领先于四冠王山东鲁能，郭跃期待八一冀中能源这次能创造历史。 。	2013.11.14 20:06	1	0
1413882434414376	今日思考2：华尔街利用经济学家的目的是给公司赚钱（推销产品），而不是寻求事情的原因和结论。那么，我们的经济学家的作用，抑或是维稳？（我们用不着推销）。总而言之，经济学家的话没必要信，更不要在意，只需掌握其对大众心理产生何种影响足矣。 。	2010.11.30 12:29	1	0
1413882019453467	［联大一般性辩论］阿富汗已经取得里程碑的胜利。阿富汗安全职责移交阿富汗军队从2011年开始，将于2014年结束。十多年前，世界上许多国家和阿富汗人民一起争取和平、抗击恐怖主义的斗争。今天，必须应对地区的恐怖主义和极端主义。阿富汗谴责“伊斯兰国”的行动和残暴性。现场直播：http://t.cn/a9BfbP 。 转发理由:安全责任交阿富汗军队，要防止另一个ISIS或类似组织肆虐。	2014.10.28 06:59	0	0
1413881285519309	1、同志这个TITLE没了，这是最大看点，异于以往二陈案和薄案的操作惯例（徐案没同志是已开除党籍）。估计此后的双开、移送侦查节奏会很快。2、和徐案一样，都是由新华社新媒体平台率先发稿，异于此前几乎绝大部分案件都由中纪委官网发稿，这是第二看点。3、徐周连环两击，给未来政局不小想象空间。 。 转发理由:	2014.08.29 19:18	0	0
14138832775971	#命运60秒#漏电啦！@徐小平 请#叠被女孩#带着4亿美金的花篮登上诺亚方舟，想看吗？不行，你还要等12小时，今晚9:30河南卫视，@薛蛮子 @徐小平 @袁岳 @嘉和一品刘京京 @万嘉张巍 @申晨 @速8徐钊 @谭文胜微博 @天使投资人杨宁 一起狠狠转起来！ http://t.cn/zjgqqcF 。 转发理由:[嘻嘻]	2013.01.15 17:21	0	0
1413882336028599	南京晓庄刚才的大爆炸，最新图片http://sinaurl.cn/bHLT0 。	2010.07.28 11:00	1	0
1413877699308845	精装注释版本的福尔摩斯这个赠品击中我了，绒布面料笔记本封面使用1887年原版《比顿圣诞年刊》封面。这一期刊登了第一篇福尔摩斯故事《血字的研究》。这是他第一次和全世界的读者见面。在全世界仅存不到30册，笔记本内穿插了10余幅彩色插画。这些插画为原版福尔摩斯故事插画或原版福尔摩斯单行本封面。 。 转发理由:	2011.07.06 12:05	0	0
1413877314031603	#公交驾校最美笑容# 今天参与的朋友真是多,希望大家都中奖哦[话筒]@公交驾校 。 转发理由:美女老师	2012.07.02 22:44	0	0
1413883350747128	我需要一个安卓系统的座机，咋没有厂家生产呀？！ 。	2013.12.16 17:59	1	0
1413877699308472	在自杀者扎堆的地方，都会有告示劝慰。美国人这样写：做决定之前，再想想妈妈的眼泪。法国人这样写：别，还有更多的美好值得留恋。日本人这样写：请慎重，这样会给很多人添麻烦的。中国人的告示最简洁有力：此处严禁自杀。 。	2012.08.12 13:55	1	0
1413883086647702	4G信号已覆盖 我在:[位置]梅灵北路 。	2014.05.06 09:46	1	0
1413881442426996	[good][good][good][音乐][音乐]最新单曲<Baby I Love U>(作词\作曲:郝时雨 演唱:@老高_高林生 高林生_作品2011_NO.8 测试版(今日首播),敬请亲们继续给力....顶! 请点击这个地址：http://weibo.com/1262733025/xsAN1y9G4 进入支持下,谢谢... 。	2011.10.13 22:15	1	0
1413883656430967	既有新伴侣，何念旧情人，《女王》Vol.2《最爱》，一边是无疾而终的遗憾，一边痴情隽永的新欢，两难……是遗憾与他无以为继，还是珍惜他爱你如生命？身为女王，将作何选择？爱情可以被释义，回忆要置身哪里？他是爱人？还是朋友？或是阴影？http://t.cn/zH1z5tR 。 转发理由:认真看了，挺有意思的。若能把故事做得更紧凑会更好，音乐不错，该煽情时没含糊。@千沐西就是占晖 同志好娘啊。	2013.06.21 08:22	0	0
1413881680780574	《李看看的自习课之梦》第二辑新鲜上市啦，这次是神秘好玩的环球旅行啊，啦啦啦！动手请戳当当http://t.cn/zQ6yVCN 。 转发理由:	2013.07.31 16:59	0	0
1413883350763800	一起床就震惊了，北京这雾霾要逆天啊！同一角度对比图。。。这伸手不见六指的怎么上班啊。。。！ 。 转发理由:推荐保命神器 http://t.cn/zjrQsL2	2013.01.29 16:14	0	0
1413880741968121	【余杭公安悬赏5万 抓捕杀害两女童嫌疑人】@余杭公安 ：20日，余杭区仁和街道发生一起特大故意杀人案，两女童被害。经查，臧纪超（男，54岁，安徽人）有重大作案嫌疑，现在逃。出逃时穿黑色短袖T恤、深色长裤、绿色球鞋。公安对积极提供线索、抓获该犯罪嫌疑人的,给予人民币伍万元以下奖励并保密 。 转发理由:	2014.08.20 22:22	0	0
1413880741983324	谁认识刘慈欣啊，我想见见他！ 。	2014.03.16 22:33	1	0
1413882969107714	千万亿次计算机的推出是好事儿，但也应该批露一下它的运行效率和投入产生，其实这也是这类产品的核心技术所在如，如果是简单的芯片组和存储设备的堆砌，那意义就没那么大了 。	2009.10.30 09:01	1	0
1413883086647334	#囧闻#【男子梦游上WC 摔下4楼砸破车后完成如厕···人并无大碍！[吃惊]】7月20日下午，一男子从一幢房屋4楼掉下来，将楼下的面包车挡风玻璃砸破，车前盖也变形。车边上有不少血迹。在车头前的水泥地上，还有一堆新鲜的粪便。[汗]但男子本人并无大碍。警方推测男子疑似梦游。http://t.cn/RPLggYN 。 转发理由:用生命在拉屎啊	2014.08.22 18:45	0	0
1413877009479389	周日，就在刚才，深圳街头，空无车辆的马路上，红灯，五个建筑工人在这里等信号灯，没有一个人看没有车辆而横穿马路。你敢说这样的公民没素质？你敢说这样的国民不适合民主？ 。 转发理由:老百姓无处不在，只要有双发现的眼睛。 @煜見視界 @河南商报杨东华 @河南商报赵卓 @黑眼睛陈 @河南商报王棣 @河南商报王春胜 @河南商报邓万里	2012.02.19 23:48	0	0
1413876944253296	我刚更新了微博HD V3.3.0！信息流全面改造，带来新鲜的阅读体验；全面支持赞，轻松表达态度！快来下载体验吧！http://t.cn/h98rBI 。 转发理由:我的v321，新版本检测提示最新版。。。	2013.05.15 23:42	0	0
1413881565518154	【巨蟹座心语】如果你觉得我冷漠，傲慢，高傲，坚强。你好，我们是泛泛之交；如果你觉得我可爱又好玩，各种无厘头，嗨，我们是熟人；如果你觉得我很二，很轴，很傻，很白痴，我们是很好的朋友；如果你觉得看着我蛮不讲理，胡搅蛮缠，折磨人，粘人，爱哭，脆弱。谢谢你，我爱你。 。 转发理由:哭笑不得，你太太太爱我了[泪]	2014.05.03 07:52	0	0
1413881565518258	网上看到的一首诗《但你没有》感动cry。。。TAT cr.肥啾榭一 。 转发理由:感动！	2014.03.21 00:02	0	0
1413882019468622	#墨迹天气# 宝山，周六18~25度，阴，东北风3-4级；周日21~25度，阴，东北风3-4级；周一22~26度，阵雨，东北风3-4级；9月20日发布。 [位置]民主新苑 。	2014.10.20 07:45	1	0
1413883086647738	11年底杭州启动尾号早晚高峰限行，当时效果非常好，一路通畅；12年末杭州地铁开通，滨江跨入地铁时代，当时早晚高峰也被地铁分流了不少；13年一直传限牌，今天终于落地。我大胆预测，现在这种不发展公共交通，只求拜金、排外的政策肯定会取得一点效果，但最终会被滚滚车流所淹没，也会被历史所嘲笑。 。	2014.04.25 19:39	1	0
1413883773307950	[首发] 我上传了我的首发歌曲@任妙音《蜻蜓点水（任妙音）》http://t.cn/zj5KVkL，趁热来听！发布新作，玩转歌曲——我在全球首发音乐平台。你呢？来听我们的歌曲！http://t.cn/zOfvHJO[音乐盒](分享自@微音乐) 。 转发理由:代甜歌妹妹谢谢周兵大哥！	2012.12.06 23:27	0	0
141388335074785	马上招聘！出纳！流程管理！行政！在线客服！统统都要！所有职位提供快速提升空间，没理想打算轻松混日子的请绕道。工作地点在四惠附近，有意私信我。 我在这里:[位置]朝阳区通惠家园社区卫生服务站 。	2014.03.17 16:35	1	0
1413877814110678	#每日最清新#【上班时要提醒自己的几句话】你改变不了环境,但可以改变自己；你改变不了事实,但可以改变态度；你改变不了过去,但可以改变现在；你不能控制他人,但可以掌握自己；你不能预知明天，但可以把握今天；你不能样样顺利，但可以事事尽心；你不能延伸生命的长度，但可以决定它的宽度，早安@cici 。 转发理由:改变不了事实，但可以改变态度； 不能控制他人，但可以掌握自己； 不求事事完美，但也要事事尽力！ [爱心传递]	2011.11.07 07:44	0	0
14138809518221000	我的作品 #斩仙# 有了新章节：第六百零四章 我只是懒得懂（下），精彩内容抢先读：http://t.cn/zTAfJZN 。	2013.04.01 18:28	1	0
1413882189095132	"无事时,戒一偷字; )有事时,戒一乱字; )难事时,戒一惧字; )易事时,戒一疏字; )大事时,戒一浮字; )小事时,戒一烦字; )急事时,戒一躁字; )缓事时,戒一怠字." 。 转发理由:记下几个字	2012.05.10 22:34	0	0
1413881828264489	今天是易居中国成立十一周年纪念;也是易居中国上市四周年纪念日,今天我宣布易居中国和CRIC将要联手打造我们第四个平台:中国房地产最大的互联网交易平台!你相信[哈哈] 能成吗?!反正我相信一定能成!!![握手] 。 转发理由:一定成！	2011.08.09 03:14	0	0
1413877143943288	新老业务制度落地执行，经过历时两个多月的磨合，从价值观统一、原有工作习惯的改变、人员调整、运营体系搭建、进而提高产能！终于有了结果，感谢六十多位经理！有梦想、有激情，感谢你们的选择！感谢所有一路同行的伙伴们！ 。	2013.04.27 10:38	1	0
1413877143943664	一路跑着上了去往苏州的动车，上车一分钟，车，开了。同事已经说不出话来了，好久没运动，出差也是体力活[奥特曼] 。 转发理由:回复@ME-双S:是啊，紧张任务又重的一次出差。	2012.06.13 16:32	0	0
1413883350763759	怎么帝都的空气污染指数，美使馆与咱自己的数值能差出三倍来？！ 。	2013.02.04 23:48	1	0
1413880741983163	人生自古谁无屎，坐上马桶脱裤之；借问手纸何处有？发条微博来求救。——我被困朝阳大悦城1楼厕所了，谁来救我！！！[泪][泪] 。 转发理由: 一方有难，八方点赞	2014.06.17 11:39	0	0
1413880951778777	我的作品 #斩仙# 有了新章节：第六百四十三章 今后的打算（下），精彩内容抢先读：http://t.cn/zHtOVhZ 。	2013.05.25 18:34	1	0
1413877555357414	李叔，见到你很开心，哈哈哈@李武军 我在:[位置]人民大街 。 转发理由:首次进入乒超＂家庭＂，加油!	2014.06.15 22:05	0	0
